"$r [deg]","Time [us]","InducedVoltage(int) [mV]"
0.75,212.5,62.042494564476
0.75,225,58.2485103422346
0.75,237.5,53.0154796910152
0.75,250,46.4748441123062
0.75,262.5,38.7891950532609
0.75,275,30.1486862305117
0.75,287.5,20.7666009227853
0.75,300,10.8742511245577
0.75,312.5,0.715371896914044
0.75,325,-9.45982230473462
0.75,337.5,-19.4007677847716
0.75,350,-28.8626993457954
0.75,362.5,-37.6126649772498
0.75,375,-45.435254351286
0.75,387.5,-52.1378979385537
0.75,400,-57.5556057488537
0.75,412.5,-61.5550281443392
0.75,425,-64.0377379807217
0.75,437.5,-64.9426539616194
0.75,450,-64.247542931338
0.75,462.5,-61.9695689409931
0.75,475,-58.1648688404939
0.75,487.5,-52.9271705502674
0.75,500,-46.3854848383306
0.9,0,-184.568
0.9,12.5,-140.123087449482
0.9,25,-95.678544190221
0.9,37.5,-64.9504062687795
0.9,50,-42.4429174766138
0.9,62.5,-24.8615596073561
0.9,75,-10.2884650876575
0.9,87.5,2.34704480765747
0.9,100,13.600753126207
0.9,112.5,23.7203051046992
0.9,125,32.7737230248194
0.9,137.5,40.7296146657198
0.9,150,47.5076287684407
0.9,162.5,53.0105250734237
0.9,175,57.1447703290997
0.9,187.5,59.8338366984514
0.9,200,61.0267243954509
0.9,212.5,60.7032188852486
0.9,225,58.8768009104723
0.9,237.5,55.5957661978623
0.9,250,50.9429102535792
0.9,262.5,45.0340147285975
0.9,275,38.0153122666918
0.9,287.5,30.06007546068
0.9,300,21.3644642430311
0.9,312.5,12.1427638579377
0.9,325,2.62214990250027
0.9,337.5,-6.96288084546244
0.9,350,-16.3762699863918
0.9,362.5,-25.3862005232248
0.9,375,-33.7707998545902
0.9,387.5,-41.3235996281396
0.9,400,-47.8586172477655
0.9,412.5,-53.2149347807304
0.9,425,-57.2606597715039
0.9,437.5,-59.8961724545336
0.9,450,-61.0565788047511
0.9,462.5,-60.713307446034
0.9,475,-58.8748136015315
0.9,487.5,-55.5863703186833
0.9,500,-50.9289537892428
1.05,0,-180.045
1.05,12.5,-138.737535020616
1.05,25,-97.4296922041054
1.05,37.5,-68.5891867963829
1.05,50,-47.1192625399117
1.05,62.5,-29.9954194907525
1.05,75,-15.4729413804594
1.05,87.5,-2.5921952997019
1.05,100,9.12882348833057
1.05,112.5,19.885514184725
1.05,125,29.7057299694273
1.05,137.5,38.5244956732904
1.05,150,46.2313985725494
1.05,162.5,52.7010610499025
1.05,175,57.813019622522
1.05,187.5,61.4648381796728
1.05,200,63.5807529591029
1.05,212.5,64.1172288380139
1.05,225,63.0662551685874
1.05,237.5,60.4568787601282
1.05,250,56.3550082055475
1.05,262.5,50.8633158111482
1.05,275,44.1179906787488
1.05,287.5,36.2851220777374
1.05,300,27.5580156148059
1.05,312.5,18.1515909205967
1.05,325,8.29763702720673
1.05,337.5,-1.7610564228399
1.05,350,-11.7764420377425
1.05,362.5,-21.5020606129543
1.05,375,-30.6983905453583
1.05,387.5,-39.1389524708669
1.05,400,-46.6158836716173
1.05,412.5,-52.9450545798643
