"$r [deg]","Time [ms]","InducedVoltage(int) [mV]"
2.7,1.875,-2.07396420728134
2.7,1.9375,-1.28083573579238
2.7,2,-0.456288608026682
2.7,2.0625,0.3793857034044
2.7,2.125,1.20562026951912
2.7,2.1875,2.00207958064358
2.7,2.25,2.74916020572577
2.7,2.3125,3.42847368946126
2.7,2.375,4.02329951725349
2.7,2.4375,4.51899692076466
2.7,2.5,4.90336522630123
3,0,1.11561
3,0.0625,2.9703196299286
3,0.125,4.82503088150687
3,0.1875,4.88516304128344
3,0.25,4.6485992632603
3,0.3125,4.26741557647451
3,0.375,3.76931409397909
3,0.4375,3.17107260511078
3,0.5,2.48959350896334
3,0.5625,1.74301217294086
3,0.625,0.950630319194974
3,0.6875,0.132607422473741
3,0.75,-0.69044297708408
3,0.8125,-1.49790454047857
3,0.875,-2.26962969967611
3,0.9375,-2.98641192398695
3,1,-3.63044231816483
3,1.0625,-4.18573681087744
3,1.125,-4.6385215824579
3,1.1875,-4.97756632585307
3,1.25,-5.19445647098237
3,1.3125,-5.28379705568826
3,1.375,-5.24334319192944
3,1.4375,-5.07405339311953
3,1.5,-4.7800645150427
3,1.5625,-4.3685888399555
3,1.625,-3.84973545397515
3,1.6875,-3.23626075881062
3,1.75,-2.54325368921117
3,1.8125,-1.78776380148218
3,1.875,-0.988381027404992
3,1.9375,-0.164777688629051
3,2,0.662776211791838
3,2.0625,1.47391223156929
3,2.125,2.24866525507311
3,2.1875,2.96796519018232
3,2.25,3.61410668058361
3,2.3125,4.17118516504097
3,2.375,4.62548854201286
3,2.4375,4.96583494128625
3,2.5,5.18384805157847
3.3,0,8.07697
3.3,0.0625,6.62088126552249
3.3,0.125,5.16479251241557
3.3,0.1875,4.72490616319574
3.3,0.25,4.30334006578549
3.3,0.3125,3.79624030417737
3.3,0.375,3.19982486402153
3.3,0.4375,2.52524640644095
3.3,0.5,1.78800733738332
3.3,0.5625,1.00588192953097
3.3,0.625,0.198037912301777
3.3,0.6875,-0.615600237694001
3.3,0.75,-1.41491494402298
3.3,0.8125,-2.18012577209261
3.3,0.875,-2.89229276259234
3.3,0.9375,-3.53379008659109
3.3,1,-4.08874264400243
3.3,1.0625,-4.54341734218269
3.3,1.125,-4.88656050247359
3.3,1.1875,-5.10967379910902
3.3,1.25,-5.20722233126269
3.3,1.3125,-5.17676961335907
3.3,1.375,-5.01903658810469
3.3,1.4375,-4.73788286660611
3.3,1.5,-4.34021093295192
3.3,1.5625,-3.83579562589279
3.3,1.625,-3.23704260083463
3.3,1.6875,-2.55868282857066
3.3,1.75,-1.8174091409663
3.3,1.8125,-1.03146507493831
3.3,1.875,-0.220195348538826
3.3,1.9375,0.596430648551724
3.3,2,1.39831076293882
3.3,2.0625,2.16570517641787
3.3,2.125,2.87972261835328
3.3,2.1875,3.52278557354133
3.3,2.25,4.07906320849955
3.3,2.3125,4.53486126186566
3.3,2.375,4.87895925552877
3.3,2.4375,5.10288687854945
3.3,2.5,5.20113249283549
3.6,0,21.8019
3.6,0.0625,13.6085280600549
3.6,0.125,5.41510966628648
3.6,0.1875,4.16760262625208
3.6,0.25,3.5157996246167
3.6,0.3125,2.85235073088618
3.6,0.375,2.12869651363253
3.6,0.4375,1.3544283663271
3.6,0.5,0.547059741248291
3.6,0.5625,-0.273959547173017
3.6,0.625,-1.08854817335013
3.6,0.6875,-1.87668157266741
3.6,0.75,-2.61894926086639
3.6,0.8125,-3.29705715805452
3.6,0.875,-3.89428748960265
3.6,0.9375,-4.3959139571072
3.6,1,-4.78956549628447
3.6,1.0625,-5.065531059777
3.6,1.125,-5.2169987306576
3.6,1.1875,-5.24022331871737
3.6,1.25,-5.13461838548136
3.6,1.3125,-4.90277067032705
3.6,1.375,-4.55037624041196
3.6,1.4375,-4.08610024761083
3.6,1.5,-3.52136348391015
3.6,1.5625,-2.87006113484654
3.6,1.625,-2.14822060514694
3.6,1.6875,-1.37360685410557
3.6,1.75,-0.565284900908121
3.6,1.8125,0.25684963299185
3.6,1.875,1.07256044642921
3.6,1.9375,1.86176888946839
3.6,2,2.60504839690664
3.6,2.0625,3.28410285525974
3.6,2.125,3.88221716985156
3.6,2.1875,4.38466883406746
3.6,2.25,4.77909053704387
3.6,2.3125,5.05577463393006
3.6,2.375,5.20791229191721
3.6,2.4375,5.23176110062963
3.6,2.5,5.12673727848366
3.9,0,30.3317
3.9,0.0625,18.0220562157825
3.9,0.125,5.71242849486908
3.9,0.1875,3.92259650775642
3.9,0.25,3.08667231979414
3.9,0.3125,2.29424169921541
3.9,0.375,1.46665702299923
3.9,0.4375,0.610346122866055
3.9,0.5,-0.257252769810265
3.9,0.5625,-1.11636958249873
3.9,0.625,-1.94670985864005
3.9,0.6875,-2.72833076385155
3.9,0.75,-3.44229321527135
3.9,0.8125,-4.07121033952654
3.9,0.875,-4.59972067476973
3.9,0.9375,-5.01489222040249
3.9,1,-5.30655640726454
3.9,1.0625,-5.46756787950369
3.9,1.125,-5.49398640219305
3.9,1.1875,-5.38517772394924
3.9,1.25,-5.14383172066535
3.9,1.3125,-4.77589781767794
3.9,1.375,-4.29043969293917
3.9,1.4375,-3.69941286955801
3.9,1.5,-3.01737091213778
3.9,1.5625,-2.26110744897346
3.9,1.625,-1.44924298691808
3.9,1.6875,-0.601766594583477
3.9,1.75,0.260456107283426
3.9,1.8125,1.11619670350383
3.9,1.875,1.94438642460861
3.9,1.9375,2.72463508997268
3.9,2,3.43773294712015
3.9,2.0625,4.06612376426654
3.9,2.125,4.59433701828226
3.9,2.1875,5.00936887844176
3.9,2.25,5.30100233193592
3.9,2.3125,5.46205877516515
3.9,2.375,5.48857476491176
3.9,2.4375,5.37989960677199
3.9,2.5,5.13871140000281
4.2,0,35.8746
4.2,0.0625,20.8205151664459
4.2,0.125,5.76647454108386
4.2,0.1875,3.67195902244411
4.2,0.25,2.7603445955518
4.2,0.3125,1.91679198225927
4.2,0.375,1.04651897514943
4.2,0.4375,0.156446060106844
4.2,0.5,-0.734638793715735
4.2,0.5625,-1.6060303414617
4.2,0.625,-2.43692762981101
4.2,0.6875,-3.2072576248673
4.2,0.75,-3.89829131681709
4.2,0.8125,-4.49316562398512
4.2,0.875,-4.97733183105489
4.2,0.9375,-5.33893320930005
4.2,1,-5.56910870929508
4.2,1.0625,-5.66221847013204
4.2,1.125,-5.61598748612138
4.2,1.1875,-5.4315647100457
4.2,1.25,-5.11349696337262
4.2,1.3125,-4.66961842350973
4.2,1.375,-4.11085874246553
4.2,1.4375,-3.45097469428277
4.2,1.5,-2.70621195215808
4.2,1.5625,-1.89490546716834
4.2,1.625,-1.03702824623732
4.2,1.6875,-0.153699797163146
4.2,1.75,0.733333796241191
4.2,1.8125,1.60223519503237
4.2,1.875,2.43161347641646
4.2,1.9375,3.20105076729076
4.2,2,3.89160498236125
4.2,2.0625,4.48627620576304
4.2,2.125,4.97042529666038
4.2,2.1875,5.33213434282878
4.2,2.25,5.56250007570423
4.2,2.3125,5.6558531765968
4.2,2.375,5.60989782252039
4.2,2.4375,5.4257682601567
4.2,2.5,5.10800082478715
4.5,0,43.1418
4.5,0.0625,24.4574602388577
4.5,0.125,5.77308147956856
4.5,0.1875,3.26882478099135
4.5,0.25,2.2494931652426
4.5,0.3125,1.33566972513806
4.5,0.375,0.411348264095954
4.5,0.4375,-0.516895676059755
4.5,0.5,-1.42943066037402
4.5,0.5625,-2.30505746442629
4.5,0.625,-3.12290461478127
4.5,0.6875,-3.86324486207917
4.5,0.75,-4.50810229154004
4.5,0.8125,-5.04175841342357
4.5,0.875,-5.45117530580188
4.5,0.9375,-5.72633792987472
4.5,1,-5.8605137621222
4.5,1.0625,-5.85042656410157
4.5,1.125,-5.69634215053947
4.5,1.1875,-5.40206532899149
4.5,1.25,-4.97484815438755
4.5,1.3125,-4.4252130697485
4.5,1.375,-3.7666946797743
4.5,1.4375,-3.01550697167392
4.5,1.5,-2.19014517736615
4.5,1.5625,-1.31092982981536
4.5,1.625,-0.399507465220386
4.5,1.6875,0.521682804803973
4.5,1.75,1.42996143418674
4.5,1.8125,2.30296680167945
4.5,1.875,3.11920587181818
4.5,1.9375,3.85858328458916
4.5,2,4.50289621472502
4.5,2.0625,5.03628250835944
4.5,2.125,5.44561128870384
4.5,2.1875,5.7208062374935
4.5,2.25,5.85509377336494
4.5,2.3125,5.84516971931903
4.5,2.375,5.69128084187743
4.5,2.4375,5.39721853171567
4.5,2.5,4.97022569226789
4.8,0,44.9749
4.8,0.0625,25.1599354919469
4.8,0.125,5.34501448993795
4.8,0.1875,2.71991959140043
4.8,0.25,1.68746465999203
4.8,0.3125,0.78621248344859
4.8,0.375,-0.109079993655704
4.8,0.4375,-0.994152801408426
4.8,0.5,-1.8509957730684
4.8,0.5625,-2.66005405340631
4.8,0.625,-3.40224456700332
4.8,0.6875,-4.05978933543859
4.8,0.75,-4.61680428097542
4.8,0.8125,-5.05976907068939
4.8,0.875,-5.37790387905327
4.8,0.9375,-5.56346039341116
4.8,1,-5.61192770935561
4.8,1.0625,-5.52215267510179
4.8,1.125,-5.29637411598618
4.8,1.1875,-4.94017144765579
4.8,1.25,-4.46232977097747
4.8,1.3125,-3.87462518307575
4.8,1.375,-3.19153601835266
4.8,1.4375,-2.42988706008402
4.8,1.5,-1.60843590261371
4.8,1.5625,-0.747411457173147
4.8,1.625,0.131983833807935
4.8,1.6875,1.00809586721567
4.8,1.75,1.85935185425132
4.8,1.8125,2.66479145226895
4.8,1.875,3.40458272722126
4.8,1.9375,4.06051042262569
4.8,2,4.61642442071748
4.8,2.0625,5.05863737883313
4.8,2.125,5.37626169754565
4.8,2.1875,5.56147760123633
4.8,2.25,5.6097256549104
4.8,2.3125,5.51981903099512
4.8,2.375,5.29397272494984
4.8,2.4375,4.93774894743305
4.8,2.5,4.45992025359951
5.1,0,52.8002
5.1,0.0625,28.9431543132112
5.1,0.125,5.08606118122554
5.1,0.1875,1.96404793528002
5.1,0.25,0.797629447722337
5.1,0.3125,-0.175601364248577
5.1,0.375,-1.11033958338064
5.1,0.4375,-2.00584918112549
5.1,0.5,-2.84527133662663
5.1,0.5625,-3.61028027086455
5.1,0.625,-4.28342487803649
5.1,0.6875,-4.849020140258
5.1,0.75,-5.29373303065973
5.1,0.8125,-5.60702016773687
5.1,0.875,-5.78145252351867
5.1,0.9375,-5.8129386362417
5.1,1,-5.7008510999675
5.1,1.0625,-5.44805881978404
5.1,1.125,-5.06086765536403
5.1,1.1875,-4.54887277580418
5.1,1.25,-3.92472777097259
5.1,1.3125,-3.20383685101051
5.1,1.375,-2.40397821893845
5.1,1.4375,-1.54486830679276
5.1,1.5,-0.647677755599496
5.1,1.5625,0.265488799851708
5.1,1.625,1.17213618973429
5.1,1.6875,2.04993199851858
5.1,1.75,2.87725597519091
5.1,1.8125,3.63373202123529
5.1,1.875,4.30072963439997
5.1,1.9375,4.86182242861286
5.1,2,5.30319242068903
5.1,2.0625,5.61397012833174
5.1,2.125,5.78650212434066
5.1,2.1875,5.81653938114376
5.1,2.25,5.70334181810918
5.1,2.3125,5.44969650132034
5.1,2.375,5.0618489263601
5.1,2.4375,4.54934924218355
5.1,2.5,3.92481703074445
5.4,0,52.5529
5.4,0.0625,28.2653856747801
5.4,0.125,3.97785058707613
5.4,0.1875,0.862093196150476
5.4,0.25,-0.24256657292861
5.4,0.3125,-1.12490147997876
5.4,0.375,-1.94407464775013
5.4,0.4375,-2.70274637848272
5.4,0.5,-3.38766284611101
5.4,0.5625,-3.98442066860024
5.4,0.625,-4.47978024631598
5.4,0.6875,-4.86248108174862
5.4,0.75,-5.12372982352728
5.4,0.8125,-5.25753067061271
5.4,0.875,-5.26089992569078
5.4,0.9375,-5.1339806177195
5.4,1,-4.88006520028427
5.4,1.0625,-4.50553168475136
5.4,1.125,-4.01969814418901
5.4,1.1875,-3.43460127997192
5.4,1.25,-2.76470561031316
5.4,1.3125,-2.02655133932657
5.4,1.375,-1.23834999537716
5.4,1.4375,-0.41953815856621
5.4,1.5,0.409699526956043
5.4,1.5625,1.22892614053171
5.4,1.625,2.01795478093578
5.4,1.6875,2.75734492933075
5.4,1.75,3.42888055701706
5.4,1.8125,4.01601825526271
5.4,1.875,4.50429422219064
5.4,1.9375,4.88168014924452
5.4,2,5.1388791663197
5.4,2.0625,5.26955459797236
5.4,2.125,5.27048584586086
5.4,2.1875,5.14164757464192
5.4,2.25,4.88621024457537
5.4,2.3125,4.51046196324354
5.4,2.375,4.02365359509652
5.4,2.4375,3.43777091801288
5.4,2.5,2.7672394531547
5.7,0,56.1749
5.7,0.0625,29.8447594894017
5.7,0.125,3.51464788509693
5.7,0.1875,0.180251414311639
5.7,0.25,-0.956561446638261
5.7,0.3125,-1.8365432014659
5.7,0.375,-2.63362939809763
5.7,0.4375,-3.3526877264982
5.7,0.5,-3.98175093769198
5.7,0.5625,-4.50789982991593
5.7,0.625,-4.9196838657378
5.7,0.6875,-5.20792539473748
5.7,0.75,-5.36616879529612
5.7,0.8125,-5.39095959972037
5.7,0.875,-5.28199966310613
5.7,0.9375,-5.04219726957969
5.7,1,-4.67762303577635
5.7,1.0625,-4.19737800696276
5.7,1.125,-3.61338172479503
5.7,1.1875,-2.94008680195644
5.7,1.25,-2.194128621581
5.7,1.3125,-1.39391995555776
5.7,1.375,-0.559200349187448
5.7,1.4375,0.289447811453782
5.7,1.5,1.13110449916769
5.7,1.5625,1.94502606049778
5.7,1.625,2.71115517404207
5.7,1.6875,3.41061374260148
5.7,1.75,4.02616770019998
5.7,1.8125,4.54265062422288
5.7,1.875,4.94733696539188
5.7,1.9375,5.23025511152893
5.7,2,5.38443284297015
5.7,2.0625,5.40606863935848
5.7,2.125,5.29462546308853
5.7,2.1875,5.05284347902856
5.7,2.25,4.68667287260651
5.7,2.3125,4.20512698764077
5.7,2.375,3.62006057051901
5.7,2.4375,2.94587752907184
5.7,2.5,2.19917655103188
6,0,56.1818
6,0.0625,29.2161149740214
6,0.125,2.25044602071143
6,0.1875,-1.0722189041952
6,0.25,-2.1321205416996
6,0.3125,-2.90774986376226
6,0.375,-3.57530725066574
6,0.4375,-4.14181730331649
6,0.5,-4.59867212436585
6,0.5625,-4.93708683120718
6,0.625,-5.15023346663839
6,0.6875,-5.23385919112122
6,0.75,-5.18658730212178
6,0.8125,-5.01006218205009
